"week","count","type"
"2012-03-25 - 2012-03-31",55,"data science"
"2012-04-01 - 2012-04-07",50,"data science"
"2012-04-08 - 2012-04-14",58,"data science"
"2012-04-15 - 2012-04-21",51,"data science"
"2012-04-22 - 2012-04-28",70,"data science"
"2012-04-29 - 2012-05-05",53,"data science"
"2012-05-06 - 2012-05-12",52,"data science"
"2012-05-13 - 2012-05-19",51,"data science"
"2012-05-20 - 2012-05-26",59,"data science"
"2012-05-27 - 2012-06-02",37,"data science"
"2012-06-03 - 2012-06-09",49,"data science"
"2012-06-10 - 2012-06-16",57,"data science"
"2012-06-17 - 2012-06-23",47,"data science"
"2012-06-24 - 2012-06-30",46,"data science"
"2012-07-01 - 2012-07-07",53,"data science"
"2012-07-08 - 2012-07-14",57,"data science"
"2012-07-15 - 2012-07-21",57,"data science"
"2012-07-22 - 2012-07-28",60,"data science"
"2012-07-29 - 2012-08-04",59,"data science"
"2012-08-05 - 2012-08-11",37,"data science"
"2012-08-12 - 2012-08-18",55,"data science"
"2012-08-19 - 2012-08-25",62,"data science"
"2012-08-26 - 2012-09-01",60,"data science"
"2012-09-02 - 2012-09-08",48,"data science"
"2012-09-09 - 2012-09-15",57,"data science"
"2012-09-16 - 2012-09-22",75,"data science"
"2012-09-23 - 2012-09-29",87,"data science"
"2012-09-30 - 2012-10-06",88,"data science"
"2012-10-07 - 2012-10-13",70,"data science"
"2012-10-14 - 2012-10-20",75,"data science"
"2012-10-21 - 2012-10-27",70,"data science"
"2012-10-28 - 2012-11-03",55,"data science"
"2012-11-04 - 2012-11-10",78,"data science"
"2012-11-11 - 2012-11-17",100,"data science"
"2012-11-18 - 2012-11-24",70,"data science"
"2010-01-03 - 2010-01-09",0,"data journalism"
"2010-01-10 - 2010-01-16",0,"data journalism"
"2010-01-17 - 2010-01-23",0,"data journalism"
"2010-01-24 - 2010-01-30",0,"data journalism"
"2010-01-31 - 2010-02-06",0,"data journalism"
"2010-02-07 - 2010-02-13",0,"data journalism"
"2010-02-14 - 2010-02-20",0,"data journalism"
"2010-02-21 - 2010-02-27",0,"data journalism"
"2010-02-28 - 2010-03-06",0,"data journalism"
"2010-03-07 - 2010-03-13",0,"data journalism"
"2010-03-14 - 2010-03-20",0,"data journalism"
"2010-03-21 - 2010-03-27",0,"data journalism"
"2010-03-28 - 2010-04-03",0,"data journalism"
"2010-04-04 - 2010-04-10",0,"data journalism"
"2010-04-11 - 2010-04-17",0,"data journalism"
"2010-04-18 - 2010-04-24",0,"data journalism"
"2010-04-25 - 2010-05-01",0,"data journalism"
"2010-05-02 - 2010-05-08",0,"data journalism"
"2010-05-09 - 2010-05-15",0,"data journalism"
"2010-05-16 - 2010-05-22",0,"data journalism"
"2010-05-23 - 2010-05-29",0,"data journalism"
"2010-05-30 - 2010-06-05",0,"data journalism"
"2010-06-06 - 2010-06-12",0,"data journalism"
"2010-06-13 - 2010-06-19",0,"data journalism"
"2010-06-20 - 2010-06-26",0,"data journalism"
"2010-06-27 - 2010-07-03",0,"data journalism"
"2010-07-04 - 2010-07-10",0,"data journalism"
"2010-07-11 - 2010-07-17",0,"data journalism"
"2010-07-18 - 2010-07-24",0,"data journalism"
"2010-07-25 - 2010-07-31",0,"data journalism"
"2010-08-01 - 2010-08-07",0,"data journalism"
"2010-08-08 - 2010-08-14",0,"data journalism"
"2010-08-15 - 2010-08-21",0,"data journalism"
"2010-08-22 - 2010-08-28",0,"data journalism"
"2010-08-29 - 2010-09-04",0,"data journalism"
"2010-09-05 - 2010-09-11",0,"data journalism"
"2010-09-12 - 2010-09-18",0,"data journalism"
"2010-09-19 - 2010-09-25",0,"data journalism"
"2010-09-26 - 2010-10-02",14,"data journalism"
"2010-10-03 - 2010-10-09",15,"data journalism"
"2010-10-10 - 2010-10-16",17,"data journalism"
"2010-10-17 - 2010-10-23",20,"data journalism"
"2010-10-24 - 2010-10-30",14,"data journalism"
"2010-10-31 - 2010-11-06",14,"data journalism"
"2010-11-07 - 2010-11-13",24,"data journalism"
"2010-11-14 - 2010-11-20",21,"data journalism"
"2010-11-21 - 2010-11-27",18,"data journalism"
"2010-11-28 - 2010-12-04",16,"data journalism"
"2010-12-05 - 2010-12-11",25,"data journalism"
"2010-12-12 - 2010-12-18",21,"data journalism"
"2010-12-19 - 2010-12-25",15,"data journalism"
"2010-12-26 - 2011-01-01",15,"data journalism"
